,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before,host_absmag,host_prob,best_host_catalog,transient_ra_deg,transient_dec_deg,superphot_plus_prob,high_host_confidence,superphot_plus_class_no_z,superphot_plus_prob_no_z,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,peak_abs_mag,nuclear,best_redshift,superphot_nonIa_prob,superphot_non_Ia_prob,yse_field,yse_pz
ANT2025mwcypunhf31r,2025ryz,SN II,0.016201,,332.1869220514757,-27.85361095212957,17.850709915161133,8.340908064907126,early_lightgbm_02_2025,svi,SN II,15.062070316274514,IC5168,0.0157228527979004,,False,-19.73742488795726,0.999999999999982,glade,,,0.981,True,,,SN II,0.978,-16.436130649599257,,0.016201,,1.0,,<https://ziggy.ucolick.org/yse/transient_detail/2025ryz|*YSE-PZ*>
ANT2025l740v13llrce,2025ruw,---,,,311.2888017871037,23.39811251987946,17.904375076293945,3.409033064664982,early_lightgbm_02_2025,svi,SN IIn,,,,,False,,,,,,0.962,False,,,,,,,,,0.999,618.A,<https://ziggy.ucolick.org/yse/transient_detail/2025ruw|*YSE-PZ*>
ANT2025i11et1499qsc,---,---,,,304.3035094976128,11.949697306053809,15.696681022644045,19.439993764674,full_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.716,False,,,,,,,,,1.0,527.F,
ANT2025g8nvjcsgdrd2,2025rut,---,,,284.2174362093056,14.28644102891056,16.120990753173828,16.276046457751363,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.965,False,,,,,,,,,1.0,527.F,<https://ziggy.ucolick.org/yse/transient_detail/2025rut|*YSE-PZ*>
ANT2025bowd9yep10jm,2025rwm,---,,,334.74147030390884,13.40195573518922,18.336631774902344,0.0938731255228049,early_lightgbm_02_2025,svi,SLSN-I,0.5566658210873784,9906626557316462,0.138618,,False,-20.05845931362211,0.9999999999999908,decals,,,1.0,True,,,SN IIn,0.592,-20.67070710244014,,0.138618,,1.0,527.F,<https://ziggy.ucolick.org/yse/transient_detail/2025rwm|*YSE-PZ*>
ANT2025jlulig455ip6,2025shf,---,,,347.52794903697804,3.153367971833788,17.585357666015625,2.2801494685336365,early_lightgbm_02_2025,svi,SN IIn,0.1758883457273165,9906622735057745,0.089483,,False,-17.37326721577914,0.9999999999999902,decals,,,0.912,True,,,SN Ibc,0.645,-20.450025174183978,,0.089483,,1.0,477.C,<https://ziggy.ucolick.org/yse/transient_detail/2025shf|*YSE-PZ*>
ANT2025gga3wpise1ri,---,---,,,260.1132432756376,-22.899921018242708,15.8936185836792,15.423181868471149,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.868,False,,,,,,,,,1.0,,<https://ziggy.ucolick.org/yse/transient_detail/2025sqc|*YSE-PZ*>
ANT2025pf610xmq43n9,---,---,,,276.9073202747893,-22.41425641171737,17.7161865234375,3.3782374389120378,early_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.64,False,,,,,,,,,0.989,,
ANT2025pij81xlhbq0x,2025shi,SN Ibn,0.031952,,342.17617531881666,27.582795744437256,18.27939987182617,2.359718997780874,early_lightgbm_02_2025,svi,SN II,25.376047053926413,UGC12193,0.0324790884171751,,False,-21.72000366022584,0.9915502360831036,glade,,,0.999,False,,,SN Ia,1.0,-17.49087556581243,,0.031952,,1.0,674.C,<https://ziggy.ucolick.org/yse/transient_detail/2025shi|*YSE-PZ*>
ANT2025slvvtga1cq0l,2025snb,SN Ia,0.011,,337.9814077750166,32.67869397524838,16.678590774536133,0.3678786976306583,early_lightgbm_02_2025,svi,SN II,0.9368549769770176,9906633215250169,0.116127,,False,-17.883021967047643,0.999590961249726,decals,,,0.845,True,,,SN Ia,0.996,-16.76457286873721,,0.011,,1.0,674.A,<https://ziggy.ucolick.org/yse/transient_detail/2025snb|*YSE-PZ*>
ANT2025y1gj2n7w1rpb,2025rab,---,,,351.0162496328933,8.802826716610369,17.18975257873535,16.186851991973526,full_lightgbm_02_2025,svi,SN Ibc,2.9324242191783307,9906624801409933,0.056747,,False,-21.88271766121111,0.6842987671364271,decals,,,0.995,True,,,SN Ibc,1.0,-19.840709148144903,,0.056747,,0.995,527.C,<https://ziggy.ucolick.org/yse/transient_detail/2025rab|*YSE-PZ*>
ANT20255svy1up8l3si,2025sss,CV,,,324.621140543916,41.7719185551836,14.11910629272461,16.250474692024,full_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.963,False,,,,,,,,,1.0,719.D,<https://ziggy.ucolick.org/yse/transient_detail/2025sss|*YSE-PZ*>
ANT2025iwzfi3tcfsnx,2025txr,---,,,246.9726885017047,-14.563386558358232,18.3231258392334,2.3168732483463828,early_lightgbm_02_2025,svi,SN IIn,,,,,False,,,,,,0.645,False,,,,,,,,,0.96,,<https://ziggy.ucolick.org/yse/transient_detail/2025txr|*YSE-PZ*>
ANT202533o31e1grbfi,2025txq,---,,,273.3739117298169,43.96553858085992,18.059600830078125,0.3657465059295646,early_lightgbm_02_2025,svi,SLSN-I,0.613759977191457,9907736042476183,0.105178,,False,-19.2128705867718,0.8191735043770048,decals,,,1.0,True,,,SN Ia,0.522,-20.333888464340905,,0.105178,,1.0,749.C,<https://ziggy.ucolick.org/yse/transient_detail/2025txq|*YSE-PZ*>
ANT2025p660a4lwadb0,---,---,,,283.7609853304339,-21.088321397415683,18.10472869873047,3.3410706058130017,early_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.858,False,,,,,,,,,0.996,,
ANT2025k9piupfg86h2,2025trj,SN Ia,0.02927,,247.59923481871084,40.660112590982365,17.76044273376465,8.41506534400105,full_lightgbm_02_2025,svi,SN Ibc,20.22666423458988,58378,0.0300866080105645,,False,-20.280005363383506,0.7399563898058731,glade,,,0.994,False,,,SN Ibc,1.0,-17.81800600704169,,0.02927,,0.994,719.A,<https://ziggy.ucolick.org/yse/transient_detail/2025trj|*YSE-PZ*>
ANT2025ltcca1fv3blb,---,---,,,263.7211870699618,32.187558285545904,17.79560089111328,7.366062837769277,full_lightgbm_02_2025,dynesty,SLSN-I,,,,,False,,,,,,0.662,False,,,,,,,,,0.855,674.A,<https://ziggy.ucolick.org/yse/transient_detail/2025wfl|*YSE-PZ*>
