superphot_plus_A_ZTF_r,superphot_plus_beta_ZTF_r,superphot_plus_gamma_ZTF_r,superphot_plus_t_0_ZTF_r,superphot_plus_tau_rise_ZTF_r,superphot_plus_tau_fall_ZTF_r,superphot_plus_extra_sigma_ZTF_r,superphot_plus_A_ZTF_g,superphot_plus_beta_ZTF_g,superphot_plus_gamma_ZTF_g,superphot_plus_t_0_ZTF_g,superphot_plus_tau_rise_ZTF_g,superphot_plus_tau_fall_ZTF_g,superphot_plus_extra_sigma_ZTF_g,name,superphot_plus_classifier,superphot_plus_class,superphot_plus_prob,superphot_plus_prob_SLSN-I,superphot_plus_prob_SN Ia,superphot_plus_prob_SN Ibc,superphot_plus_prob_SN II,superphot_plus_prob_SN IIn,superphot_plus_classified
1.0202317,0.0044425027,21.583961,-10.366257,1.6604548,20.61357,0.06974624,1.1145892,0.009407103,14.327874,-10.437756,1.790048,13.601925,0.044182457,314051320414732370,full_lightgbm_02_2025,SN Ibc,0.538,0.07,0.381,0.538,0.007,0.004,True
1.2423375,0.0043428782,33.88238,-31.393793,13.793519,33.639812,0.09276971,1.0105503,0.009441493,13.658569,-31.179903,9.013079,21.45671,0.0435606,313853497671417905,full_lightgbm_02_2025,SN II,0.994,0.0,0.0,0.0,0.994,0.006,True
0.898542,0.006361936,19.342754,-16.850006,18.285332,23.833443,0.090279385,1.43535,0.011334688,20.229942,-17.397488,9.232405,17.507889,0.09638943,313893022950490177,full_lightgbm_02_2025,SLSN-I,0.947,0.947,0.0,0.053,0.0,0.0,True
1.0265197,0.0047802487,18.227762,-14.076407,1.5979505,33.754295,0.052107148,0.8231987,0.010070871,10.457855,-14.201078,1.7268901,23.044338,0.031714857,170019696266444924,full_lightgbm_02_2025,SN Ibc,0.86,0.0,0.0,0.86,0.14,0.0,True
0.9486811,0.0052496493,14.111399,-13.539152,1.5631402,18.837326,0.08929743,0.92127967,0.010277906,11.104606,-13.422213,1.63091,11.517669,0.036051482,314002971135836309,full_lightgbm_02_2025,SN Ibc,0.788,0.0,0.212,0.788,0.0,0.0,True
1.0078115,0.0049140095,15.4575405,-9.512417,2.0358448,17.60281,0.040510215,1.0668389,0.009822516,12.099512,-8.75918,2.1005096,14.126488,0.03290204,313928194151940140,full_lightgbm_02_2025,SN Ibc,0.606,0.0,0.359,0.606,0.0,0.035,True
1.0205244,0.004892756,20.741508,-22.155102,2.6992335,25.305208,0.06596862,1.0720527,0.009609688,13.234194,-20.699173,2.1710353,16.34493,0.032316368,313985346353234012,full_lightgbm_02_2025,SN Ibc,0.706,0.005,0.26,0.706,0.0,0.029,True
0.88826513,0.0054636807,13.307295,-20.48378,5.3473816,25.26004,0.062154606,1.4245207,0.009960014,17.42981,-20.21504,9.727391,33.429176,0.054605864,313897383647772709,full_lightgbm_02_2025,SLSN-I,1.0,1.0,0.0,0.0,0.0,0.0,True
1.0202317,0.0044425027,21.583961,-10.366257,1.6604548,20.61357,0.06974624,1.1145892,0.009407103,14.327874,-10.437756,1.790048,13.601925,0.044182457,314051320414732370,full_lightgbm_02_2025,SN Ibc,0.538,0.07,0.381,0.538,0.007,0.004,True
0.9141185,0.005147076,18.159088,-3.7639208,1.7581992,25.237757,0.065217,1.0893052,0.010020882,13.711883,-3.9494781,1.1495059,15.708892,0.03388352,170028497264181363,early_lightgbm_02_2025,SN II,0.826,0.0,0.166,0.0,0.826,0.008,True
1.0205244,0.004892756,20.741508,-22.155102,2.6992335,25.305208,0.06596862,1.0720527,0.009609688,13.234194,-20.699173,2.1710353,16.34493,0.032316368,313985346353234012,full_lightgbm_02_2025,SN Ibc,0.706,0.005,0.26,0.706,0.0,0.029,True
0.9808296,0.004566931,17.49448,-9.162471,1.564227,19.966438,0.048621647,0.9331295,0.009649408,18.178658,-9.116587,1.4139111,13.764262,0.024572205,313928194187591742,full_lightgbm_02_2025,SN Ia,0.43,0.0,0.43,0.352,0.0,0.218,True
1.0265197,0.0047802487,18.227762,-14.076407,1.5979505,33.754295,0.052107148,0.8231987,0.010070871,10.457855,-14.201078,1.7268901,23.044338,0.031714857,170019696266444924,full_lightgbm_02_2025,SN Ibc,0.86,0.0,0.0,0.86,0.14,0.0,True
0.80728763,0.0036647671,40.706,-26.552235,15.035919,55.86911,0.0644248,1.2043684,0.005150743,61.536827,-26.8204,8.596714,40.841747,0.042950142,313831458465644575,full_lightgbm_02_2025,SLSN-I,0.745,0.745,0.0,0.255,0.0,0.0,True
1.0003399,0.004641694,18.468306,-5.4175434,2.5168705,25.003433,0.0656454,1.1270838,0.009369455,14.039757,-5.025887,2.1652918,15.431233,0.032632038,170019696437362764,early_lightgbm_02_2025,SN Ia,0.896,0.0,0.896,0.009,0.021,0.073,True
0.87880576,0.0055294903,10.859464,-12.293875,1.4909551,12.984296,0.05946085,1.1320899,0.010254396,13.247545,-11.844854,1.5202959,8.943769,0.043918066,170019696437887107,full_lightgbm_02_2025,SN Ia,0.639,0.0,0.639,0.0,0.022,0.339,True
0.85520816,0.0033606936,67.34863,-11.299833,1.9549134,58.961777,0.062155783,0.9470434,0.01011684,19.814724,-11.824641,1.2848556,52.953125,0.054573648,313871013802672296,full_lightgbm_02_2025,SN II,1.0,0.0,0.0,0.0,1.0,0.0,True
0.7019285,0.0075694053,14.673814,-4.8522267,4.903666,28.672344,0.059915923,0.93867755,0.012911731,9.221729,-5.2587237,1.5095713,25.306528,0.05332819,313963359527501831,full_lightgbm_02_2025,SLSN-I,0.585,0.585,0.335,0.023,0.0,0.058,True
0.9915184,0.004743168,18.31334,-5.4463816,1.954246,25.27954,0.0634675,1.01473,0.009543441,13.848362,-5.2473083,2.0668993,15.74593,0.029966388,313756673035468835,early_lightgbm_02_2025,SN Ibc,0.468,0.002,0.427,0.468,0.031,0.072,True
0.87880576,0.0055294903,10.859464,-12.293875,1.4909551,12.984296,0.05946085,1.1320899,0.010254396,13.247545,-11.844854,1.5202959,8.943769,0.043918066,170019696437887107,full_lightgbm_02_2025,SN Ia,0.639,0.0,0.639,0.0,0.022,0.339,True
0.9915184,0.004743168,18.31334,-5.4463816,1.954246,25.27954,0.0634675,1.01473,0.009543441,13.848362,-5.2473083,2.0668993,15.74593,0.029966388,313756673035468835,early_lightgbm_02_2025,SN Ibc,0.468,0.002,0.427,0.468,0.031,0.072,True
1.0937217,0.007219909,28.839378,-34.445732,21.980034,40.79816,0.107056856,1.9234374,0.011921663,22.558554,-34.490448,11.133564,29.723381,0.099864535,313699507039109196,full_lightgbm_02_2025,SN Ibc,0.685,0.315,0.0,0.685,0.0,0.0,True
0.77538776,0.0061570453,13.055907,-10.400997,4.074033,23.49088,0.032307684,1.1477354,0.010712527,13.290081,-10.11028,2.5612285,15.332764,0.022546224,313853501446815761,full_lightgbm_02_2025,SN Ia,0.993,0.006,0.993,0.0,0.0,0.001,True
0.9901755,0.0047778366,15.186627,-9.450081,2.521812,20.63689,0.043397143,1.003984,0.009750139,13.646936,-9.72385,2.865322,16.935984,0.019635962,313945770546430083,full_lightgbm_02_2025,SN Ia,0.639,0.0,0.639,0.317,0.0,0.044,True
0.7025149,0.00693522,17.323586,-11.217485,1.6625342,35.384495,0.042903878,1.1396672,0.011134678,13.854737,-10.867179,1.6724081,26.1447,0.031000225,313871013683134625,full_lightgbm_02_2025,SN II,0.352,0.301,0.246,0.005,0.352,0.097,True
0.89374876,0.0064255446,25.457531,-22.082895,7.3196597,36.842403,0.068519965,1.3960004,0.010796402,20.472359,-21.908697,9.017004,31.911371,0.05947707,313756671695913113,full_lightgbm_02_2025,SLSN-I,1.0,1.0,0.0,0.0,0.0,0.0,True
0.9560259,0.0054976307,15.119228,-26.941492,5.259412,27.065727,0.0886644,1.5028424,0.009869496,18.26947,-26.50401,8.514797,32.60968,0.058230344,313690717562601492,full_lightgbm_02_2025,SLSN-I,0.949,0.949,0.006,0.011,0.0,0.034,True
0.9945545,0.0047296034,18.730839,-7.993849,1.9438773,25.437614,0.050825138,0.807864,0.009587893,14.629683,-6.9852266,2.431324,15.444487,0.026908714,170019696472490057,early_lightgbm_02_2025,SN Ibc,0.967,0.0,0.002,0.967,0.022,0.009,True
0.9218467,0.005285828,16.892189,-10.402804,2.2566292,19.197845,0.04225786,1.1411946,0.009940224,13.814186,-10.275507,2.8606462,13.859371,0.033260483,313893022930567256,full_lightgbm_02_2025,SN Ia,0.955,0.041,0.955,0.0,0.004,0.0,True
1.0201349,0.0045064776,19.021454,-10.613422,1.403565,28.6921,0.064691484,0.9568211,0.009571044,11.571407,-10.601532,1.4326602,19.038464,0.032930963,313994145147388004,early_lightgbm_02_2025,SN II,0.514,0.004,0.008,0.434,0.514,0.04,True
1.0213484,0.004500469,16.956537,-16.019794,1.6091969,23.56179,0.051793024,0.85282487,0.009610931,8.733657,-16.232471,1.733109,11.680302,0.028923381,314051321203785807,full_lightgbm_02_2025,SN Ibc,1.0,0.0,0.0,1.0,0.0,0.0,True
0.9560259,0.0054976307,15.119228,-26.941492,5.259412,27.065727,0.0886644,1.5028424,0.009869496,18.26947,-26.50401,8.514797,32.60968,0.058230344,313690717562601492,full_lightgbm_02_2025,SLSN-I,0.949,0.949,0.006,0.011,0.0,0.034,True
1.1501514,0.0037162038,39.33595,-15.703026,12.622812,57.938286,0.07804304,0.9935303,0.008865351,28.49459,-15.506267,10.042077,32.631943,0.089476004,313708289123156661,full_lightgbm_02_2025,SN II,1.0,0.0,0.0,0.0,1.0,0.0,True
1.0300798,0.0045929793,23.267159,-17.302166,1.6341031,23.81615,0.045655355,0.810322,0.009848358,9.598866,-17.581924,1.7838559,13.55489,0.03253264,170019696413769776,early_lightgbm_02_2025,SN Ibc,0.978,0.0,0.0,0.978,0.022,0.0,True
0.9218467,0.005285828,16.892189,-10.402804,2.2566292,19.197845,0.04225786,1.1411946,0.009940224,13.814186,-10.275507,2.8606462,13.859371,0.033260483,313893022930567256,full_lightgbm_02_2025,SN Ia,0.955,0.041,0.955,0.0,0.004,0.0,True
0.8957081,0.0064065736,24.087303,-22.166039,7.0061727,36.41696,0.069872424,1.4005787,0.010752056,20.138681,-21.981142,8.963333,32.11337,0.059239265,313756671695913113,full_lightgbm_02_2025,SLSN-I,1.0,1.0,0.0,0.0,0.0,0.0,True
