antid,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before
ANT20245e529d15el1e,2024aayo,---,,0.777,163.67428455920336,-7.066294910843752,18.06049346923828,31.325681846225052,full_lightgbm_12_2024,svi,SN Ibc,2.0337361130310088,WISEA J105441.86-070401.1,0.26724314683845124,PHOT,False
ANT2024ge2y6z3rn739,2024aauc,---,,0.661,147.01480474675725,23.63172857885391,19.445600509643555,20.400033646365046,full_lightgbm_12_2024,svi,SN IIn,2.34932972316041,WISEA J094803.50+233756.6,0.17199703743419262,PHOT,False
ANT2024vrcw8k9w9wet,2024adjy,---,,0.532,146.2960060774401,8.31861909019888,18.599124908447266,12.319698046063422,early_lightgbm_12_2024,svi,SN Ibc,5.0242726676945955,WISEA J094511.31+081905.5,0.09717908714624222,PHOT,False
ANT2024726t0aswwhe3,2024adkc,SN Ia,0.036,0.515,136.37047362128865,22.602292525225636,17.31245994567871,3.4990730463614454,early_lightgbm_12_2024,svi,SN Ibc,2.520710098098233,IC 2433,0.036155,SPEC,False
