name,ra,dec,nuclear,2MASS,Bmag,Dist,GWGC,HyperLEDA,M*,PAHyp,PGC,SDSS-DR16Q,Type,WISExSCOS,any_posterior,best_cat,best_cat_release,dec_ivar,dered_flux_r,dered_mag_r,e_Bmag,e_M*,e_logd25Hyp,e_logr25Hyp,extra_cat_cols,f_M*,f_dL,fitbits,flux_ivar_r,flux_r,high_host_confidence,host_2_absmag_info,host_2_absmag_mean,host_2_absmag_posterior,host_2_absmag_std,host_2_dec,host_2_name,host_2_objID,host_2_offset_info,host_2_offset_mean,host_2_offset_posterior,host_2_offset_std,host_2_ra,host_2_redshift_info,host_2_redshift_mean,host_2_redshift_posterior,host_2_redshift_std,host_2_total_posterior,host_absmag_info,host_absmag_mean,host_absmag_posterior,host_absmag_std,host_any_non_ratio,host_dec,host_name,host_objID,host_offset_info,host_offset_mean,host_offset_posterior,host_offset_std,host_prob_ratio,host_ra,host_redshift_info,host_redshift_mean,host_redshift_posterior,host_redshift_std,host_total_posterior,idx,logd25Hyp,logr25Hyp,mag_r,missedcat_posterior,nobs_g,nobs_r,nobs_z,none_posterior,query_time,ra_ivar,redshift,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar,smallcone_posterior,type,z_phot_mean,z_phot_median,z_phot_std,z_spec
2025nqk,86.2715583333,-33.8370933333,False,,,,,,,,,,,,0.9999999999999728,decals,dr9,9759396000000.0,140.15965,17.133442,,,,,"{'shape_r': 2.690552, 'mag_r': 17.218864, 'dec_ivar': 9759396000000.0, 'z_phot_std': 0.013584, 'shape_e2': 0.159791, 'shape_e1': -0.161999, 'dered_flux_r': 140.15965, 'shape_r_ivar': 406021.1, 'nobs_r': 7, 'flux_r': 129.5551, 'ra_ivar': 5683183400000.0, 'shape_e2_ivar': 4001348.2, 'nobs_z': 8, 'z_phot_mean': 0.090514, 'shape_e1_ivar': 3854100.0, 'dered_mag_r': 17.133442, 'fitbits': 0, 'type': 'SER', 'z_spec': -99, 'nobs_g': 7, 'flux_ivar_r': 88.96066, 'z_phot_median': 0.087296}",,,0.0,88.96066,129.5551,True,r,-20.87897234559584,,1.1781088000000002,-33.874927839710715,,9906609411659232.0,,158.44786140545347,0.0,0.0981754011208018,86.29863718514977,PHOT,1.135321,,0.146067,0.0,r,-20.95143505629652,,0.8566720999999999,36549019289856.125,-33.83651486343026,9906609411658450,9906609411658450.0,,2.0835985533922323,0.98943803219587,0.101041106148342,inf,86.27157155330823,PHOT,0.090514,,0.013584,0.98943803219587,7.0,,,17.218864,9.120171753167621e-15,7.0,7.0,8.0,2.7360515259502852e-14,2.7780966758728027,5683183400000.0,,-0.161999,3854100.0,0.159791,4001348.2,2.690552,406021.1,9.120171753167621e-15,SER,0.090514,0.087296,0.013584,-99.0
2025mzz,344.4752525,1.883271,False,,,,,,,,,,,,0.9999999999999744,decals,dr9,6505143000000.0,422.5924,15.935196,,,,,"{'nobs_g': 5, 'dered_mag_r': 15.935196, 'shape_e1': -0.066679, 'shape_r_ivar': 309963.5, 'shape_r': 2.776355, 'z_spec': 0.065957, 'z_phot_std': 0.006225, 'fitbits': 136, 'shape_e2_ivar': 5306175.5, 'z_phot_median': 0.078712, 'flux_ivar_r': 31.600996, 'dered_flux_r': 422.5924, 'type': 'SER', 'mag_r': 16.175135, 'z_phot_mean': 0.079153, 'dec_ivar': 6505143000000.0, 'ra_ivar': 5250343000000.0, 'nobs_z': 6, 'shape_e1_ivar': 4419364.0, 'shape_e2': 0.097447, 'nobs_r': 6, 'flux_r': 338.8022}",,,136.0,31.600996,338.8022,True,r,-20.115068741781865,,1.203872,1.8687982385160216,,9906622168110328.0,,52.55758003570685,0.0,0.1051597772951803,344.47717888873007,PHOT,1.034962,,0.12802,0.0,r,-21.42552211936418,,0.7967598,38999533795498.48,1.8833806452753927,9906622262482055,9906622262482056.0,,3.290743832626809,0.8732980401507173,0.0972774569009256,inf,344.4743451030755,SPEC,0.065957,,0.00329785,0.8732980401507173,3.0,,,16.175135,8.547110718841458e-15,5.0,6.0,6.0,2.564133215652437e-14,1.7847702503204346,5250343000000.0,,-0.066679,4419364.0,0.097447,5306175.5,2.776355,309963.5,8.547110718841458e-15,SER,0.079153,0.078712,0.006225,0.065957
2025nph,186.866158,-27.45582,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025mra,165.863941846,1.0797473602,False,,,,,,,,,,,,0.999999999999968,decals,dr9,364766560000.0,30.239773,18.798553,,,,,"{'shape_r': 2.500165, 'mag_r': 18.890072, 'dec_ivar': 364766560000.0, 'z_phot_std': 0.025095, 'shape_e2': -0.387005, 'shape_e1': 0.264328, 'dered_flux_r': 30.239773, 'shape_r_ivar': 32476.098, 'nobs_r': 2, 'flux_r': 27.795303, 'ra_ivar': 644680650000.0, 'shape_e2_ivar': 56980.207, 'nobs_z': 2, 'z_phot_mean': 0.144625, 'shape_e1_ivar': 105912.32, 'dered_mag_r': 18.798553, 'fitbits': 0, 'type': 'SER', 'z_spec': -99.0, 'nobs_g': 3, 'flux_ivar_r': 27.371006, 'z_phot_median': 0.142486}",,,0.0,27.371006,27.795303,True,r,-20.518977392698066,,1.0987177,1.1396708532069126,,9906621932571196.0,,294.29480645929607,0.0,0.1004303957648993,165.91955685459013,PHOT,0.546455,,0.08788,0.0,r,-20.38085477065451,,0.93992765,31409265514339.355,1.0802999037266778,9906621838198977,9906621838198976.0,,1.9927432151849511,0.9999999999999668,0.0963573219067797,inf,165.86391918480106,PHOT,0.144625,,0.025095,0.9999999999999668,4.0,,,18.890072,1.0612579691847464e-14,3.0,2.0,2.0,3.183773907554239e-14,1.5388076305389404,644680650000.0,,0.264328,105912.32,-0.387005,56980.207,2.500165,32476.098,1.0612579691847464e-14,SER,0.144625,0.142486,0.025095,-99.0
2025mbb,181.0407625,34.3594712,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025nfz,199.210398333,31.63096,False,,,,,,,,,,,,0.9999999999999922,glade,latest,,,,,,,,"{'e_M*': ' 4.000e-01', 'PAHyp': 90.8, 'f_M*': 1.0, 'SDSS-DR16Q': nan, 'HyperLEDA': '46245                        ', 'PGC': '       ', 'M*': '   0.90000', 'logd25Hyp': 0.87, 'Dist': 135.519, 'Type': 'G', 'redshift': 0.0309105814656819, '2MASS': '13165066+3137506', 'f_dL': 3.0, 'e_logr25Hyp': 0.03, 'GWGC': nan, 'WISExSCOS': 'J131650.63+313750.4', 'logr25Hyp': 0.47, 'Bmag': 15.71, 'e_Bmag': 0.7855000000000001, 'e_logd25Hyp': 0.07}",,,,,,True,B,-18.060007284054983,,0.8785000000000001,31.5987,1954950,2418025.0,,121.4610891572636,0.0,0.0985861742431582,199.222,PHOT,0.0304959275268913,,0.0091487782580673,0.0,B,-19.950000933434914,,0.7855000000000001,128999547964955.0,31.63073,46245,1045400.0,,2.370193731402764,0.999999999999992,0.0881960439739985,inf,199.211121,SPEC,0.0309105814656819,,0.0092731744397045,0.999999999999992,7.0,,,,2.5839883828421368e-15,,,,7.75196514852641e-15,0.0177981853485107,,,,,,,,,2.5839883828421368e-15,,,,,
2025nkf,148.2658163,19.4407537,False,,,,,,,,,,,,0.9535027176659344,glade,latest,,,,,,,,"{'f_dL': 3.0, 'PAHyp': 164.8, 'HyperLEDA': 'NGC3040                      ', 'PGC': '       ', 'f_M*': 0.0, 'redshift': 0.0256916807369418, 'e_logr25Hyp': 0.07, 'M*': '   8.00000', 'e_Bmag': 0.7025000000000001, 'Dist': 112.202, 'e_logd25Hyp': 0.12, 'GWGC': nan, 'e_M*': ' 1.000e+00', 'Bmag': 14.05, 'SDSS-DR16Q': nan, '2MASS': '09530509+1925561', 'WISExSCOS': 'J095305.09+192555.9', 'Type': 'G', 'logd25Hyp': 1.18, 'logr25Hyp': 0.22}",,,,,,False,B,-18.971205747139862,0.0162784579637939,0.799,19.442532,PGC200252,2165.0,,7.871802774677287,409.3720907545922,0.0947557224727941,148.264465,SPEC,0.0224433815636385,3512539.5921858894,0.0067330144690915,0.329227274902191,B,-21.200003012300467,0.1096252573218422,0.7025000000000001,20.50663328698161,19.432255,NGC3040,1026235.0,,35.71341211196716,96.46785062021976,0.0953509038013442,1.8341888807715807,148.27124,SPEC,0.0256916807369418,3327254.653656241,0.0077075042210825,0.6038650068723272,6.0,,,,0.0464972823312271,,,,0.0464972823340657,0.026118516921997,,,,,,,,,0.0,,,,,
2025jut,213.930688407,16.200607224,False,,,,,,,,,,,,0.6187362730866626,glade,latest,,,,,,,,"{'f_dL': 1.0, 'PAHyp': 152.5, 'HyperLEDA': '1503164                      ', 'PGC': '       ', 'f_M*': 1.0, 'redshift': 0.0390398581921976, 'e_logr25Hyp': 0.03, 'M*': '   0.60000', 'e_Bmag': 0.8260000000000001, 'Dist': 172.187, 'e_logd25Hyp': 0.09, 'GWGC': nan, 'e_M*': ' 5.000e-01', 'Bmag': 16.52, 'SDSS-DR16Q': nan, '2MASS': '14154297+1612010', 'WISExSCOS': 'J141542.95+161200.1', 'Type': 'G', 'logd25Hyp': 0.58, 'logr25Hyp': 0.25}",,,,,,False,B,-19.660001804939338,0.1863772130159587,0.8260000000000001,16.200279,1503164,2471173.0,,5.70084967093844,726.6959999645794,0.0944405082983248,213.929077,PHOT,0.0390398581921976,15774921.15494668,0.0117119574576592,0.6187362730866626,B,-19.660001804939338,0.1863772130159587,0.8260000000000001,1.622856383679278,16.200279,1503164,2471173.0,,5.70084967093844,726.6959999645794,0.0944405082983248,1.0,213.929077,PHOT,0.0390398581921976,15774921.15494668,0.0117119574576592,0.6187362730866626,14.0,,,,0.381263726898267,,,,0.3812637269133374,0.0118038654327392,,,,,,,,,0.0,,,,,
2025lfw,190.8083748,41.9596513,False,,,,,,,,,,,,0.9999549017678956,decals,dr9,2615698000000.0,115.24703,17.345926,,,,,"{'shape_r': 3.982233, 'mag_r': 17.389645, 'dec_ivar': 2615698000000.0, 'z_phot_std': 0.01716, 'shape_e2': -0.361166, 'shape_e1': -0.48037, 'dered_flux_r': 115.24703, 'shape_r_ivar': 24796.232, 'nobs_r': 2, 'flux_r': 110.69865, 'ra_ivar': 607424940000.0, 'shape_e2_ivar': 712318.4, 'nobs_z': 3, 'z_phot_mean': 0.057845, 'shape_e1_ivar': 812576.25, 'dered_mag_r': 17.345926, 'fitbits': 528, 'type': 'SER', 'z_spec': 0.035021, 'nobs_g': 2, 'flux_ivar_r': 11.431783, 'z_phot_median': 0.053866}",,,528.0,11.431783,110.69865,True,r,-21.83566307505806,1.146193252893558,1.0698565,42.04041737083224,,9907735473095832.0,,299.2421304725753,0.0,0.0967674837883788,190.8348260080149,PHOT,0.72299,2.834223497040534e-35,0.058849,0.0,r,-18.591771990373694,0.0520288118882603,0.8672963,22172.818203961444,41.95978178674517,9907735473095499,9907735473095500.0,,3.254321247064077,713.9851811555657,0.0749627864687143,inf,190.8071741098603,SPEC,0.035021,51537355.380148485,0.0017510499999999,0.9999549017678648,10.0,,,17.389645,4.509822332108857e-05,2.0,2.0,3.0,4.509823210426366e-05,1.336756944656372,607424940000.0,,-0.48037,812576.25,-0.361166,712318.4,3.982233,24796.232,0.0,SER,0.057845,0.053866,0.01716,0.035021
2025nmx,203.648294,-35.347622,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
