,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before,host_absmag,host_prob,best_host_catalog,transient_ra_deg,transient_dec_deg,superphot_plus_prob,high_host_confidence,superphot_plus_class_no_z,superphot_plus_prob_no_z,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,peak_abs_mag,nuclear,best_redshift,superphot_nonIa_prob,superphot_non_Ia_prob,yse_field,yse_pz
ANT20252utvhs0lqnnw,2025hxt,---,,,313.7154443511767,65.16043071892933,18.23820304870605,0.1260880629633902,early_lightgbm_02_2025,svi,SN II,7.983101289448015,PGC065702,0.0085784809007128,,False,-19.740010685060284,0.9999999999999803,glade,,,0.54,False,,,,,,,,,0.971,,<https://ziggy.ucolick.org/yse/transient_detail/2025hxt|*YSE-PZ*>
ANT2025tdk31m4d460s,2025khg,---,,,172.3125629676857,-7.183121579128667,18.38804244995117,0.2473927476094104,early_lightgbm_02_2025,svi,SLSN-I,1.7048684497502813,9906618731071794,0.277181,,False,-19.457485310646213,0.9838750115995588,decals,,,0.995,True,,,SN Ia,0.654,-22.17157957942367,,0.277181,,1.0,523.A,<https://ziggy.ucolick.org/yse/transient_detail/2025khg|*YSE-PZ*>
ANT2025l8r141d2y6iz,2025jpl,---,,,288.2960578729364,37.05665155660133,17.02307891845703,7.991111326249666,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.934,False,,,,,,,,,1.0,707.A,<https://ziggy.ucolick.org/yse/transient_detail/2025jpl|*YSE-PZ*>
ANT2025l105hk07u87p,2025iew,SN II,0.023,,198.991664942996,17.16571948279389,17.605289459228516,0.1172591795038897,early_lightgbm_02_2025,svi,SN Ibc,18.377576836055017,9906627888877200,0.074677,,False,-16.352604847258217,0.4200741242675377,decals,,,0.92,True,,,SN Ibc,0.983,-17.446257485354703,,0.023,,1.0,575.A,<https://ziggy.ucolick.org/yse/transient_detail/2025iew|*YSE-PZ*>
ANT2025xavmrranlqi3,2025khl,---,,,251.36159147003963,65.59108457620619,18.3681697845459,2.302460589038674,early_lightgbm_02_2025,svi,SN IIn,1.5224125309818275,9907740709488115,0.125205,,False,-17.60981145160539,0.9926107072154536,decals,,,0.73,True,,,SN II,0.675,-20.41256184312902,,0.125205,,0.74,,<https://ziggy.ucolick.org/yse/transient_detail/2025khl|*YSE-PZ*>
ANT2025tp1lqjvumk5d,2025jpj,---,,,281.8958990437756,29.099457573797,16.304424285888672,8.025418879260542,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.999,False,,,,,,,,,1.0,674.C,<https://ziggy.ucolick.org/yse/transient_detail/2025jpj|*YSE-PZ*>
ANT2025xirqle64z9e9,2025iqz,---,,,233.5086115043255,3.918216452610409,17.816814422607422,0.136009014051524,early_lightgbm_02_2025,svi,SN IIn,,,,,False,,,,,,0.558,False,,,,,,,,,0.992,477.C,<https://ziggy.ucolick.org/yse/transient_detail/2025iqz|*YSE-PZ*>
ANT20257x2xmyx5s3c2,2025kej,---,,,273.7838590461204,41.36491874535134,14.762127876281738,3.994716839049943,full_lightgbm_02_2025,dynesty,SLSN-I,0.1465472138754989,9907735277147732,0.692078,,False,-19.17782350272465,0.9999999999999876,decals,,,0.896,True,,,SN II,0.759,-27.845899527014915,,0.692078,,0.986,719.D,<https://ziggy.ucolick.org/yse/transient_detail/2025kej|*YSE-PZ*>
ANT2025q30oradsstlz,2025kdt,---,,,216.30416070000004,-7.145912635591401,18.08989143371582,0.616941950218461,early_lightgbm_02_2025,svi,SLSN-I,2.698392900453975,9906618742539532,0.493685,,False,-20.62834601931648,0.9546243272818182,decals,,,0.993,True,,,SN Ia,0.673,-23.767116583720657,,0.493685,,1.0,719.A,<https://ziggy.ucolick.org/yse/transient_detail/2025kdt|*YSE-PZ*>
ANT20251dcjunevbg2v,2025ljt,---,,,253.33621395,-8.425645109826817,16.841211318969727,10.674921814512343,full_lightgbm_02_2025,svi,SN II,,,,,False,,,,,,0.984,False,,,,,,,,,1.0,365.F,<https://ziggy.ucolick.org/yse/transient_detail/2025ljt|*YSE-PZ*>
