name,superphot_plus_prob,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,peak_phase,superphot_plus_class,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,superphot_plus_classifier,superphot_plus_sampler,superphot_non_Ia_prob,posted_before
ANT2026oa4us867yx04,0.774,22.442156513342773,,,57.88681363895086,-49.9971271512934,---,,---,0.799209,0.9999999999999868,0.1592648469632235,decals,-22.77196575264897,0.799209,9906604845766233,True,-20.481445339544656,1.7644480174931232,SN IIn,SLSN-I,0.742,early_lightgbm_02_2025,svi,1.0,False
ANT2026r2stnlm35a1v,0.754,21.505659651838545,,,60.9635504979215,-48.29233180433161,---,,---,0.273409,0.9999999999999912,0.4316934560769009,decals,-21.279372568417788,0.273409,9906605279423409,True,-19.023144015223465,37.65331804502057,SN Ibc,SN Ibc,0.969,full_lightgbm_02_2025,svi,0.754,False
ANT2026pb4eordcwagh,0.733,22.471247103087975,,,61.008203374380514,-48.54946604073842,---,,---,0.415106,0.9999999999999795,1.2916781159704347,decals,-22.62843546607562,0.415106,9906605216633619,True,-18.996911565750978,1.743633307487471,SN Ia,SN Ibc,0.767,early_lightgbm_02_2025,dynesty,0.267,False
ANT202630q9a5z683va,0.726,21.962251689156332,,,57.52740215739049,-48.02890016476394,---,,---,,,,,,,nan,False,,40.60831951745786,SN Ibc,,,full_lightgbm_02_2025,dynesty,0.984,False
ANT2026wfv4ze3q9hho,0.717,22.047011708135624,,,64.52904557575093,-46.90394771301078,---,,---,0.516453,0.9999999999999809,0.30979752969491503,decals,-20.931605719303555,0.516453,9906605598579862,True,-19.910845568218715,38.7099794492533,SN Ia,SN Ibc,1.0,full_lightgbm_02_2025,svi,0.28300000000000003,False
ANT20267sl7xz3c8brz,0.71,22.36353585699528,,477.C,149.90198209711895,3.626352738390935,---,,---,0.101772,0.9999999999999657,0.48410844439789197,decals,-18.268943203427565,0.101772,9906622871769058,True,-15.956935599159653,0.48896620626328513,SN Ibc,SN Ibc,0.49,full_lightgbm_02_2025,svi,1.0,False
ANT2026ibf6s356vc99,0.708,22.357769887654023,,,57.91113074225504,-48.0035695493838,---,,---,0.545934,0.9999999999999818,0.244553241639884,decals,-19.74373683798963,0.545934,9906605342002602,True,-19.72405133017657,38.71373498086177,SN Ia,SN Ibc,0.861,full_lightgbm_02_2025,svi,0.29200000000000004,False
ANT20266mw87c4vai8v,0.675,21.875840192967555,,,63.49315769610505,-47.209150656071046,---,,---,0.910221,0.9905416805836509,0.1296670440889123,decals,-22.47333885911039,0.910221,9906605534091982,True,-21.32976784431422,42.6545890551788,SLSN-I,SN IIn,0.525,full_lightgbm_02_2025,svi,1.0,False
ANT2026b6j6n4y5li8q,0.671,22.441828394397227,,,59.88621031521065,-50.325309011648386,---,,---,0.428179,0.9999999999999731,0.5466623080215885,decals,-20.801300411489592,0.428179,9906604785473714,True,-19.095978154932748,1.746373194589978,SN Ia,SN Ibc,0.863,early_lightgbm_02_2025,svi,0.32899999999999996,False
ANT2026sb8yop9aaw27,0.656,22.48789882157913,,,63.555117143068024,-47.881999918402215,---,,---,1.060511,0.9994364664082799,0.13554087404839466,decals,-22.22751440160733,1.060511,9906605342987647,True,-21.04440859567469,2.7149847232940374,SLSN-I,SLSN-I,0.906,early_lightgbm_02_2025,svi,1.0,False
ANT2026wmysp2oo4rql,0.65,21.872766912086004,,477.C,151.42034800936693,3.319758308347758,---,,---,0.39819,0.9999999999999829,0.57119488254787,decals,-21.01490156891175,0.39819,9906622683680503,True,-19.501891418772313,36.51962610260671,SN Ibc,SN Ibc,1.0,full_lightgbm_02_2025,svi,0.65,False
ANT20264ictr22ej6ib,0.606,22.387283913176518,,,61.13487140959206,-47.687666642524704,---,,---,1.058822,0.9993272988289605,0.11618654716406118,decals,-22.25722992227862,1.058822,9906605405963240,True,-21.14164468139411,5.713637853128603,SN IIn,SN IIn,0.818,early_lightgbm_02_2025,svi,1.0,False
ANT2026fstt3fguk7xh,0.554,22.03301658707634,,,63.267991848009515,-47.80716978023264,---,,---,0.490031,0.9999999999999886,0.12824181542363317,decals,-20.78338944138967,0.490031,9906605406298490,True,-19.80736118841295,0.7159585802146466,SN IIn,SN Ibc,0.643,early_lightgbm_02_2025,dynesty,0.786,False
ANT20268xnca1swttp3,0.549,21.824431750999576,,,61.82480988229993,-47.44968480877441,---,,---,0.460542,0.9984270578627538,1.758928836516746,decals,-22.188591982342643,0.460542,9906605469801269,True,-19.876882336095356,38.7132905429462,SN Ia,SN Ibc,0.93,full_lightgbm_02_2025,svi,0.45099999999999996,False
ANT2026ojo2vr5j0kl3,0.548,22.41175606500902,,477.C,150.76509143300692,2.6257685942430697,---,,---,0.304874,0.9999999999999899,4.250675876697705,decals,-23.28172364067792,0.304874,9906622494867821,True,-18.362117346350107,0.4975295815675054,SN Ia,SN Ibc,0.887,early_lightgbm_02_2025,svi,0.45199999999999996,False
ANT2026ucyi7881cbyl,0.54,22.159510604311784,,,65.37037432396504,-48.18515962944031,---,,---,0.254132,0.9999710010326041,0.12292502473934278,decals,-20.523004960436527,0.254132,9906605280206107,True,-18.204896527297866,0.7289062328927685,SN II,SN IIn,0.54,early_lightgbm_02_2025,svi,1.0,False
ANT2026o745x8ytr4j3,0.5,21.615263286370485,,477.C,150.57628639441023,2.1813594451838583,---,,---,0.620005,0.9999999999999941,0.2104595456993905,decals,-23.109667806747577,0.620005,9906622306060318,True,-20.749602684801992,6.637052097066771,SN IIn,SN IIn,0.5,full_lightgbm_02_2025,svi,0.5,False
ANT20266gwi9gj5cipb,0.5,22.443326949550062,,,57.79675196764062,-48.19858516848757,---,,---,0.871918,0.9999999999999736,0.28471704319429647,decals,-22.672310916662514,0.871918,9906605278892115,True,-20.669437188133966,1.7574651703325799,SLSN-I,SN II,0.562,early_lightgbm_02_2025,dynesty,1.0,False
ANT2026gkfvruceeewm,0.492,22.469031220651917,,,62.45565713687971,-46.32597092169706,---,,---,0.370001,0.9999999999999594,1.9019828377628172,decals,-21.90630859963069,0.370001,9906605793023185,True,-18.74051229426469,0.7199699820630485,SN Ia,SN Ibc,0.831,early_lightgbm_02_2025,svi,0.508,False
ANT2026dgih4jjvbpse,0.44,21.687602066707377,,,63.46257441333151,-46.1930735181449,---,,---,0.273916,0.902907220867015,0.13758356898436608,decals,-21.171637448171477,0.273916,9906605793217533,True,-18.845368420117744,0.7035001965123229,SN Ia,SN II,0.8,early_lightgbm_02_2025,svi,0.56,False
ANT2026rinatri2lj8f,0.344,22.44314811666239,,,63.290722498410716,-46.09958040427372,---,,---,0.445473,0.9993223982072852,0.18211315807410092,decals,-20.301057077080095,0.445473,9906605858755434,True,-19.18354181306376,0.7062799068007735,SN Ibc,SN Ibc,0.852,early_lightgbm_02_2025,dynesty,0.738,False
