time,lsst_diaSource_psfFlux,lsst_diaSource_psfFluxErr,ant_passband,ant_mag,ant_magerr
2025-12-19 07:43:33.396969,1383.15966796875,171.0859375,r,23.547819208231353,0.1342970018360406
2025-12-19 07:44:13.574976,1463.2935791015625,156.32510375976562,r,23.486671332682484,0.11599027514954224
2025-12-19 07:54:29.187474,1216.8524169921875,169.62176513671875,r,23.68690522733472,0.15134496916161214
2025-12-19 07:55:09.416708,1601.509521484375,185.30825805664062,r,23.388676187433536,0.12562890330260207
2025-12-24 06:50:06.086517,2269.2333984375,160.45150756835938,g,23.0103020828521,0.07676954296325059
2025-12-25 03:52:16.672706,2215.31689453125,108.2518081665039,g,23.036410351139146,0.053054670258258656
2025-12-25 03:52:56.640343,2299.58740234375,108.4365005493164,g,22.995875197955638,0.05119763416849177
2026-01-01 05:19:15.408344,4497.83251953125,294.74151611328125,i,22.267491799772962,0.071147943748435
2026-01-01 05:25:41.829369,4228.9580078125,323.640380859375,i,22.334416568089154,0.08309093591650364
2026-01-02 02:35:58.080050,4206.416015625,279.0096740722656,i,22.340219444224275,0.07201639198138468
2026-01-02 02:36:38.268749,4009.197998046875,285.2938537597656,i,22.392356237937044,0.07726080532137568
2026-01-03 01:36:04.436130,3618.123779296875,432.71453857421875,g,22.50379144903458,0.12985012938018897
2026-01-03 01:52:59.106301,4466.8837890625,383.14111328125,i,22.274988365084898,0.0931276025670003
2026-01-04 03:10:52.862737,4865.32177734375,266.5480041503906,r,22.182221078877816,0.05948235937029827
2026-01-04 03:28:05.553230,4131.6884765625,345.1007385253906,z,22.359681077761373,0.09068649977636262
2026-01-05 01:51:24.741225,2946.661865234375,228.32449340820312,g,22.726674243415722,0.08412915368782133
2026-01-05 01:57:00.224732,4147.30126953125,241.07676696777344,i,22.35558603834265,0.06311231256477641
2026-01-06 03:43:21.431426,5019.689453125,317.61029052734375,z,22.148307874949197,0.06869767435804316
2026-01-09 02:49:13.658766,2841.22900390625,166.5952606201172,g,22.766234401503418,0.0636620651653554
2026-01-10 02:45:56.727475,4879.224609375,216.14573669433594,r,22.179122972977744,0.04809724302960896
2026-01-11 01:52:38.035487,2287.95751953125,114.92282104492188,g,23.001380108356226,0.05453591969966945
2026-01-11 02:06:47.375047,4262.5205078125,259.402099609375,i,22.325833796298685,0.06607411052215914
2026-01-13 05:36:07.437865,1672.5936279296875,208.0335693359375,g,23.34152390519316,0.13504151532172587
2026-01-14 03:52:40.394874,4122.099609375,139.0286102294922,r,22.3622037945657,0.036619298398335685
2026-01-14 03:53:14.564375,3726.264404296875,123.52810668945312,r,22.47181583035396,0.03599286663160759
2026-01-14 03:54:54.488764,4141.45751953125,147.57981872558594,r,22.357116972505235,0.03868994225495432
2026-01-14 03:55:28.873142,4045.37939453125,146.3049774169922,r,22.382601854953286,0.03926667820889397
2026-01-14 03:57:08.879255,4343.43994140625,145.5528564453125,r,22.30541544821056,0.0363840661044051
2026-01-14 04:13:26.221856,4971.1845703125,305.61968994140625,z,22.15885028015282,0.06674915355948643
2026-01-16 04:59:27.028312,4558.7158203125,518.8358764648438,z,22.252893699642527,0.12356964496345411
2026-01-16 05:07:00.125447,4277.0029296875,170.68304443359375,r,22.322151130643523,0.0433286495067782
2026-01-17 04:23:33.099224,3818.006591796875,245.6421661376953,i,22.445408315328287,0.06985388494716781
2026-01-18 02:30:57.064599,4137.9580078125,161.8934783935547,r,22.35803480222057,0.04247834571405708
2026-01-18 02:33:33.139075,4831.12109375,462.5183410644531,z,22.189880191582645,0.10394541939923722
2026-01-18 02:34:07.782066,4413.69140625,473.9635314941406,z,22.287995087115704,0.11659160519231382
2026-01-18 02:35:43.143094,5510.5546875,450.015625,z,22.047011708135624,0.0886658938124108
2026-01-18 02:36:17.597379,4837.68603515625,455.0052490234375,z,22.188405801708655,0.10211817563803076
2026-01-18 02:38:07.055174,4528.18359375,408.1986389160156,z,22.260189932831196,0.09787501584870094
2026-01-19 03:47:45.867983,1361.0419921875,146.12779235839844,g,23.565321188288543,0.11656968381254373
2026-01-29 02:01:10.000373,3035.276123046875,295.2322692871094,i,22.69450448613339,0.10560632726097646
2026-02-19 01:18:20.914365,1624.7947998046875,262.9484558105469,i,23.373003698927718,0.17570997795726093
2026-02-19 01:24:38.101712,1475.5599365234375,224.1630401611328,i,23.477607862440347,0.16494208228845242
2026-02-19 01:27:07.385291,1367.5306396484375,238.6101531982422,i,23.56015733619533,0.1894419581098497
2026-02-19 01:53:08.790457,2393.321533203125,380.5550231933594,z,22.952497379338325,0.17263972301733035
2026-02-19 01:55:38.037775,2225.3857421875,396.74310302734375,z,23.031486746894807,0.193565700893476
2026-02-19 01:57:03.758732,2225.2802734375,396.66497802734375,z,23.031538204919272,0.19353675711985366
2026-02-19 01:58:18.647549,2555.40673828125,395.733154296875,z,22.881349910905016,0.16813832671202864
2026-02-19 01:59:33.700098,2586.28466796875,405.2061462402344,z,22.868309186918356,0.17010771815349737
2026-02-19 02:02:03.804917,2555.66064453125,410.960205078125,z,22.881242037074436,0.17459061879868065
2026-02-19 02:03:18.596628,2376.40185546875,385.1744384765625,z,22.960200293007013,0.1759794253816959
2026-02-19 02:07:09.149773,2475.537353515625,407.7028503417969,z,22.915826290475934,0.17881279180479157
2026-02-19 02:09:39.139421,2426.183349609375,480.5395812988281,z,22.937690955175313,0.21504525670718672
2026-02-19 02:29:33.975726,956.3745727539062,179.13092041015625,r,23.94842994760633,0.203360619595853
2026-02-20 00:40:50.064372,1444.7598876953125,236.28367614746094,i,23.500510811531317,0.1775670434731405
2026-02-20 00:44:49.813898,1191.6220703125,221.46607971191406,i,23.709653654280764,0.20178691454247447
2026-02-20 00:48:34.209499,1156.7069091796875,197.07566833496094,i,23.741941675764362,0.1849839285043408
2026-02-20 00:49:49.170064,1166.096923828125,192.52354431152344,i,23.733163375798632,0.17925592466290274
2026-02-20 00:52:18.668166,1163.1968994140625,202.78982543945312,i,23.735866910317558,0.18928545592505003
2026-02-20 00:53:33.271697,1048.4031982421875,201.99319458007812,i,23.848679157178875,0.20918605059394538
2026-02-20 02:11:29.042360,2813.7666015625,440.1669921875,z,22.77677982398503,0.1698453735615719
2026-02-20 02:17:59.385463,3112.316650390625,421.73529052734375,z,22.667290559635326,0.14712297146636907
2026-02-20 02:20:28.842948,2631.69287109375,397.7876892089844,z,22.849411989936385,0.16411204389582568
2026-02-20 02:21:43.507472,3057.40380859375,368.1105041503906,z,22.686617994399754,0.13072231433232728
2026-02-23 02:19:31.594664,2547.3603515625,443.7857971191406,z,22.88477403764455,0.18915043048155686
2026-02-23 02:20:46.436975,2570.01806640625,477.2957763671875,z,22.875159559266155,0.20163955715091028
2026-02-23 02:22:01.599551,2306.31884765625,430.58880615234375,z,22.99270162963142,0.20270651505028153
2026-02-23 02:28:30.687417,2402.54638671875,474.85491943359375,z,22.948320546295776,0.21459197661556384
2026-02-23 02:43:17.411486,1049.0325927734375,184.7638397216797,r,23.848027545860813,0.1912283674481418
2026-02-23 02:44:32.355340,882.4776611328125,164.41162109375,r,24.03574069861676,0.20228007729432418
2026-02-24 01:09:26.242579,1149.80517578125,193.054443359375,i,23.748439351835614,0.18229714308102798
2026-02-24 01:10:41.609744,1190.7269287109375,205.7178955078125,i,23.710469561346724,0.18757900046930395
2026-02-24 01:11:56.643743,950.6643676757812,188.13990783691406,i,23.954931959481414,0.21487111166036735
2026-02-24 01:13:22.918903,984.7297973632812,196.9071807861328,i,23.916707300944545,0.21710448462999918
2026-02-24 01:37:40.171727,2463.097412109375,360.2404479980469,z,22.921296030181985,0.1587944085714461
2026-02-24 01:40:10.211920,2262.544189453125,360.5928955078125,z,23.013507324728735,0.17303916699458047
2026-02-24 01:45:23.038696,2509.138916015625,373.89093017578125,z,22.90118823432912,0.1617873434314115
2026-02-24 01:46:37.976174,3088.65966796875,375.2608947753906,z,22.675574857334745,0.13191299252323277
2026-02-24 01:47:52.736159,2637.335205078125,372.6838684082031,z,22.847086669767563,0.1534262190414715
2026-02-24 01:49:07.761184,2271.717041015625,355.49468994140625,z,23.009114410371815,0.16990384299626146
2026-02-24 01:50:22.534066,2180.486083984375,382.7720947265625,z,23.053616701699134,0.19059489738009958
2026-02-24 01:51:37.447313,2028.389892578125,374.6158447265625,z,23.132121405496374,0.20052061341062566
2026-02-24 01:55:27.796100,1929.98828125,346.91827392578125,z,23.186113319972677,0.19516270318981704
2026-02-24 02:10:16.326369,870.4736938476562,162.92160034179688,r,24.050610872364413,0.20321105770162565
2026-02-25 01:58:13.289143,2586.7216796875,337.1187744140625,z,22.868125742548028,0.1415003637845008
2026-02-25 02:01:57.955233,2839.65966796875,332.5313415527344,z,22.7668342671183,0.12714246034943094
2026-02-25 02:03:12.753967,2231.097412109375,322.3589782714844,z,23.028703668846653,0.1568720450028615
2026-02-25 02:15:04.498629,2722.77685546875,381.6297607421875,z,22.812469874257154,0.15217892249184764
