antid,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before
ANT2025f7t3a8dnf5g8,2025iw,SN II,0.0243,0.507,202.74321124794807,-21.84615414746682,18.312938690185547,12.12218471117376,full_lightgbm_12_2024,svi,SN Ibc,4.674027254818063,ESO 577- G 001,0.024313,SPEC,False
ANT2025mdi9l3vtw4ts,---,---,,0.41,212.6998535,-6.276597600000002,19.148679733276367,0.1605412113858619,early_lightgbm_12_2024,svi,SN Ibc,41.813420106193846,LCRS B140807.9-060209,0.2388544845239369,PHOT,False
ANT202544tqeax6gvy7,2025azl,SN IIb,0.02,0.404,195.98289351961216,-20.942297412547006,17.63871955871582,0.1851477112068096,early_lightgbm_12_2024,svi,SN Ibc,12.48313731937202,WISEA J130355.04-205635.2,0.0368304662099485,PHOT,False
ANT2025n3pfarqf7xnf,2025ay,SN Iax[02cx-like],0.02005,0.805,144.30198364980663,38.09396645961773,16.68027687072754,22.24431344898767,full_lightgbm_12_2024,svi,SN Ibc,6.364193821907878,UGC 05119,0.02005,SPEC,False
ANT20259rzmtiaef7dm,2024afkb,---,,0.673,130.7405983166033,37.56109976013722,18.746967315673828,43.228144449036336,full_lightgbm_12_2024,svi,SN Ibc,4.641578286334178,WISEA J084257.50+373337.3,0.0891310374436559,PHOT,False
ANT20245b2ib27pyg5a,2024abtu,SN Ic,0.017682,0.592,108.45111525529045,50.257602207170045,17.20281410217285,80.15460274912766,full_lightgbm_12_2024,svi,SN Ibc,6.727161146910195,UGC 03741,0.017682,SPEC,False
ANT2025q9kj1m7m2kgk,2025aec,SN Ia,0.055,0.48,136.7634261682609,38.32644414902008,17.953853607177734,13.103908349148696,full_lightgbm_12_2024,svi,SN Ibc,1.95016875517153,WISEA J090703.08+381936.3,0.055488,SPEC,False
ANT2024p6c282k35agf,2024agim,---,,0.472,235.503674,-6.363711879114831,17.789691925048828,58.976315749197965,full_lightgbm_12_2024,dynesty,SN IIn,5.252659813913839,WISEA J154200.54-062150.7,0.2152502151626851,PHOT,False
ANT2025jfrnprwmd8et,---,---,,0.432,54.6463517,-3.1978527049789847,20.245262145996094,0.373607348970836,early_lightgbm_12_2024,svi,SN IIn,25.662523317292603,WISEA J033833.98-031211.7,0.2298164267566444,PHOT,False
ANT2025ghbxrk74c0ur,---,---,,0.516,235.5124204,-19.47902560000001,11.14108657836914,5.029024400311755,early_lightgbm_12_2024,svi,SN Ibc,8.366580587163986,PSO J154203.549-192846.932,0.3112242020579107,PHOT,False
ANT2025qy0ic7ksn8dj,---,---,,0.465,209.1987163,-13.42134680000001,17.978321075439453,0.0812119003676343,early_lightgbm_12_2024,svi,SN Ibc,6.990250711538231,PSO J135648.106-132513.333,0.503937908489831,PHOT,False
ANT20258g2bbzcgfe7t,---,---,,0.448,212.6899623999892,-6.272799869722292,19.0446834564209,0.089556800230639,early_lightgbm_12_2024,svi,SN Ibc,6.369044601605061,LCRS B140807.9-060209,0.2388544380844498,PHOT,False
ANT2025ei2gux3xlwwk,---,---,,0.422,212.9205285,-13.475660010221633,18.975372314453125,0.0890823002264369,early_lightgbm_12_2024,svi,SN Ibc,20.44559513469448,WISEA J141142.15-132822.7,0.1600454430551229,PHOT,False
ANT20247dwqxz45945v,2024admc,SN Ib/c,0.0168,0.87,34.71691940222694,33.72184537392222,17.303627014160156,58.35161441012315,full_lightgbm_12_2024,svi,SN Ibc,13.541374874541871,UGC 01778,0.016805,SPEC,False
ANT2025q56lnmnbe1a2,---,---,,0.665,271.2270787411045,39.68061254590455,18.22374153137207,0.0397741101405699,early_lightgbm_12_2024,svi,SN Ibc,11.02831263997106,2MASS J18045425+3940395,0.0849157446576987,PHOT,False
ANT2025anwzh0qmgqhb,2025aaq,---,,0.607,76.2223285001304,-24.40862530351214,19.0882511138916,23.292575010164,full_lightgbm_12_2024,svi,SN Ibc,7.710251181899249,WISEA J050453.78-242426.2,0.044013,SPEC,False
ANT2025jqv1nsybpjni,2025aot,SN Ic,0.02183,0.579,151.8057392,2.903123694356651,17.831253051757812,4.206892210124352,early_lightgbm_12_2024,svi,SN Ibc,4.449588081770283,[EKL2017] ECO 5514,0.021363,SPEC,False
ANT2025s9gguc51cyh9,2025ts,---,,0.566,48.05120089381175,42.00911380311224,18.703184127807617,18.391683809990354,full_lightgbm_12_2024,svi,SN Ibc,3.6397071514621366,WISEA J031211.97+420031.5,0.0785710767193063,PHOT,False
ANT2025dx9aoacxzx3m,2025tt,---,,0.549,42.84185455903582,17.18061582188419,18.17072486877441,23.39374401007808,full_lightgbm_12_2024,svi,SN Ibc,6.30720921340243,WISEA J025121.77+171045.4,0.0339046673263607,PHOT,False
ANT2025rpd014lxzbiv,2025auc,---,,0.541,228.82983308802653,24.59816963276289,18.959333419799805,15.00524860999576,early_lightgbm_12_2024,svi,SN Ibc,12.163397138244424,WISEA J151519.24+243541.1,0.069561,SPEC,False
ANT20258zj355b1djys,---,---,,0.508,292.09269515000005,56.58005425000003,17.715974807739258,0.0347857103406568,early_lightgbm_12_2024,svi,SN Ibc,10.132073219320697,WISEA J192821.48+563455.9,0.024764,SPEC,False
ANT2025kjkkcumumoq7,2025aor,---,,0.5,273.3263017,26.022846599999998,18.50374984741211,23.04054961034126,full_lightgbm_12_2024,svi,SN Ibc,9.022070400610115,WISEA J181318.71+260114.9,0.0836446935593153,PHOT,False
ANT2025sabcxhn0tajb,2025qe,SN Iax[02cx-like],0.0075,0.91,139.61738821648092,73.76248610461388,16.217947006225586,20.21985136072908,full_lightgbm_12_2024,svi,SN Ibc,21.04813744949054,PSO J091834.824+734536.004,,PHOT,False
ANT2024hp2cttf4noyo,2024adml,SN Ic-BL,0.037,0.906,152.66869836051092,-2.4347419884000203,17.391496658325195,64.06624026091595,full_lightgbm_12_2024,svi,SN Ibc,10.451731294453598,CGCG 008-056,0.037309,SPEC,False
ANT2025eygcicaouoc4,2025brs,SN Ia,0.00952,0.853,94.74628896477648,-24.627511052401246,16.032556533813477,0.35943466106255073,early_lightgbm_12_2024,svi,SN Ibc,11.33639266290402,ESO 489- G 035,0.00909,SPEC,False
ANT20253kuwjeql3ll8,2025oq,SN Ic-BL,0.01133,0.644,136.16013868393077,18.46667711236219,15.463980674743652,25.24901796093036,full_lightgbm_12_2024,svi,SN Ibc,11.241799061362752,NGC 2744 NED02,0.01133,SPEC,False
ANT2025uv57pvqe12th,2025pp,---,,0.575,120.9249097127503,60.61244138475931,17.60321044921875,25.236807360852254,full_lightgbm_12_2024,svi,SN Ibc,1.431803701088605,SBS 0759+607,0.038821,SPEC,False
ANT2025epbh67hmhuyg,2025cib,---,,0.56,128.5632109436414,29.704790217767417,19.638948440551758,0.3507541609724285,early_lightgbm_12_2024,svi,SN Ibc,1.2159265360084337,SDSS J083415.15+294218.4,0.14697204280611273,PHOT,False
ANT2025j5w5a8rbkdtd,2025tn,---,,0.539,255.4111483327961,10.57817732208106,18.891332626342773,14.036784160954994,full_lightgbm_12_2024,svi,SN Ibc,9.294657924697365,2MASX J17013866+1034316,0.052087,SPEC,False
ANT2024s65vm4vfter1,2024acsd,SN Ic-BL,0.021748,0.503,144.08545268138568,23.75011496551761,16.976200103759766,69.19989766094659,full_lightgbm_12_2024,svi,SN Ibc,9.956656659224816,2MASS J09361979+2344555,0.0221,SPEC,False
ANT2025b8hdumbi2kkp,2025axo,---,,0.462,54.65321493416488,-6.53592737131072,19.09728240966797,19.406078160813195,full_lightgbm_12_2024,svi,SN IIn,11.338467841678463,WISEA J033836.46-063219.8,0.22949423384301776,PHOT,False
ANT2025fqislhjgakdn,2025apm,---,,0.451,132.5685270608745,-9.109508250201372,18.91309928894043,16.179527260901523,early_lightgbm_12_2024,svi,SN Ibc,1.13511321375256,WISEA J085016.36-090635.5,0.1704018666265002,PHOT,False
ANT2025h616lhwb91xw,2025bdk,---,,0.449,145.10323491545074,66.41219159179,19.37659454345703,6.2184855608065845,early_lightgbm_12_2024,svi,SN Ibc,3.291951842003221,WISEA J094025.16+662441.9,0.045765,SPEC,False
