ANTID,Unnamed: 0,TNS_Name,Spec_Class,Superphot_Class,Superphot_Class_Prob
ANT2024g73k76j4t3v3,,2024fwu,---,SN IIn,0.341
ANT2024uocktazmindu,,2024fch,---,SN IIn,0.284
ANT2024t0tdzuypyxq9,,2024eqn,---,SN IIn,0.277
ANT2024ppil8ekukinn,,2024edx,---,SN IIn,0.294
ANT2024w067fcdajy0f,,2024ftg,---,SN IIn,0.393
ANT2024c8ujkilve1y6,,2024feb,---,SN IIn,0.362
ANT2024qnivts02wzdt,,2024fba,---,SN IIn,0.27
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.773
ANT2024g4bfetebg5rf,,2024fed,---,SN IIn,0.265
ANT2023oek9u2uyn0i9,,No TNS,---,SN IIn,0.698
ANT20244l4bo6jpr3zd,,2024fps,---,SN IIn,0.348
ANT2024o12tlaf5hk1z,,No TNS,---,SN Ibc,0.231
ANT2024vx7vmrs6541h,,2024ecb,SN IIb,SN Ibc,0.458
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.459
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.513
ANT2024c6isdd6dq8lx,,2024fvf,---,SN Ibc,0.519
ANT2024gzqb45v2nzs4,,2024eqg,---,SN Ibc,0.476
ANT2024xcyqecvr4mub,,No TNS,---,SN Ibc,0.287
ANT20247it9s45f5trm,,2024foz,---,SN Ibc,0.402
ANT2024hha79ige28nu,,2024etp,---,SN Ibc,0.264
ANT20246ifo2hq6pope,,2024cfp,---,SN Ibc,0.466
ANT2024mucpepmfdjvs,,No TNS,---,SN Ibc,0.275
ANT2024bg0krpp4051v,,2024fbm,SN Ia-91T-like,SN Ibc,0.349
ANT20242drtadv0dko8,,2024dlo,---,SN Ibc,0.492
ANT2024vqphr7r6fy79,,2024ejy,---,SN Ibc,0.67
ANT2023usxs9dg7xvzm,,No TNS,---,SN Ibc,0.57
ANT2024ps3buerp6yfh,,2024ewe,---,SN Ibc,0.433
ANT20241cnnr3718oms,,No TNS,---,SN Ibc,0.351
ANT2024fsyrnv9713ro,,No TNS,---,SN Ibc,0.388
ANT2024ari3pwmsncb8,,2024fty,---,SN Ibc,0.302
ANT20245horcxb5j0vv,,2024fow,---,SN Ibc,0.332
ANT2024chla9dmklpg3,,2024ehl,---,SN Ibc,0.356
ANT2024o16rwj0rgi94,,2024feu,---,SN Ibc,0.673
ANT2024jd8mhots9sex,,No TNS,---,SN IIn,0.268
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.391
ANT2024ak4sqhxvc5zu,,2024frp,---,SN IIn,0.36
ANT2024hl6pc9s9584v,,2024dlz,---,SN IIn,0.349
ANT20240wms6cqe4jye,,2024eze,---,SN IIn,0.291
ANT2024hgp3vifftirn,,No TNS,---,SN IIn,0.467
ANT2024kjbjwh1wpzwv,,2024fmf,---,SN IIn,0.346
ANT2024qw7q1ydvmzee,,2024fot,---,SN IIn,0.337
ANT2024agt14uhkv60i,,2024fkw,SN Ia,SN IIn,0.341
ANT20249lymdtpibg2s,,No TNS,---,SN IIn,0.492
ANT20244l4bo6jpr3zd,,2024fps,---,SN IIn,0.415
ANT2023bl1q1fgeafyh,,No TNS,---,SN IIn,0.873
ANT20237fc56shv6yci,,No TNS,---,SN IIn,0.521
ANT2024flxvd4rtpvft,,2024fhy,---,SN IIn,0.32
ANT2024o6monp3sx8h2,,2024fqr,---,SN IIn,0.404
ANT202328bh61ki75zd,,2023xix,SN IIn,SN IIn,0.654
ANT2023ozt1i7xqk8p5,,2023xaq,---,SN IIn,0.685
ANT2024hdxnohy0aquu,,2024dju,---,SN IIn,0.416
ANT2023c28zpk0cki4u,,No TNS,---,SN IIn,0.872
ANT2023sjanfzki847x,,No TNS,---,SN IIn,0.668
ANT2023blbs00ccgrqo,,No TNS,---,SN IIn,0.858
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.806
ANT2024v66glvvzkymo,,2024gah,---,SN Ibc,0.66
ANT2024vx7vmrs6541h,,2024ecb,SN IIb,SN Ibc,0.498
ANT2024a8iyoo1kpa8z,,No TNS,---,SN Ibc,0.322
ANT2024c6isdd6dq8lx,,2024fvf,---,SN Ibc,0.379
ANT20247it9s45f5trm,,2024foz,---,SN Ibc,0.494
ANT2023o79mcvlo5hh4,,2023abuo,SN Ia,SN Ibc,0.613
ANT2024x37w9zngg44p,,No TNS,---,SN Ibc,0.251
ANT2024jrd71n3doz8q,,No TNS,---,SN Ibc,0.484
ANT2024gzqb45v2nzs4,,2024eqg,---,SN Ibc,0.651
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.583
ANT2024gohzlmlj95nj,,No TNS,---,SN Ibc,0.46
ANT2024ps3buerp6yfh,,2024ewe,---,SN Ibc,0.514
ANT2024x7nzbcogq2c5,,No TNS,---,SN Ibc,0.347
ANT2024vqphr7r6fy79,,2024ejy,---,SN Ibc,0.579
ANT20247taivueyq3oo,,No TNS,---,SN Ibc,0.372
ANT2024cot4hlz7n210,,No TNS,---,SN Ibc,0.302
ANT2024ov3j009srch3,,2024cro,---,SN Ibc,0.587
ANT2024h6m0t4vmtuak,,2024fog,---,SN Ibc,0.406
ANT2024hjiho5qoa6vg,,No TNS,---,SN Ibc,0.281
ANT2024r1ecu922xopr,,2024ekv,---,SN Ibc,0.566
ANT2024ni1heun4pbpw,,No TNS,---,SN Ibc,0.585
ANT20246grlf1dthj1h,,No TNS,---,SN Ibc,0.364
ANT2024o97ua9r87d27,,2024fij,---,SN Ibc,0.282
ANT2024y59bpz9m0sf2,,2024fqm,---,SN Ibc,0.362
ANT2024mokh71dqeiha,,2024fid,SN Ia-91bg-like,SN Ibc,0.703
ANT20244rb4teewt5io,,No TNS,---,SN Ibc,0.355
ANT20242bo3xami1xd3,,No TNS,---,SN Ibc,0.323
ANT2024o16rwj0rgi94,,2024feu,---,SN Ibc,0.783
ANT2024h90znlgso1gs,,No TNS,---,SN Ibc,0.29
ANT2024p4sr6kv8nmr1,,2024fis,---,SN Ibc,0.55
ANT2024wnrkzs2pw0xc,,2020lpw,---,SN IIn,0.328
ANT2024d0oeyb63fvk0,,No TNS,---,SN IIn,0.275
ANT2024444iklo3w01o,,No TNS,---,SN IIn,0.38
ANT2024139v1ej33yqq,,2024fzq,---,SN IIn,0.335
ANT2024xxsa5sy2t6k8,,No TNS,---,SN IIn,0.444
ANT2024bg0krpp4051v,,2024fbm,SN Ia-91T-like,SN IIn,0.326
ANT2024vuxzkcd9euvx,,2024erx,---,SN IIn,0.498
ANT2024tzjm0eilncy8,,No TNS,---,SN IIn,0.75
ANT2024yc83gx0dc2rr,,No TNS,---,SN IIn,0.25
ANT2024n6ifwyalzwjc,,No TNS,---,SN IIn,0.329
ANT2024ak4sqhxvc5zu,,2024frp,---,SN IIn,0.312
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.384
ANT2024124l570fq9mr,,No TNS,---,SN IIn,0.285
ANT20240it6gs0bsjv4,,2024atk,SN II,SN IIn,0.519
ANT2024xxpec78uwdq7,,No TNS,---,SN IIn,0.362
ANT202314ob5pnwuemw,,2023hxm,---,SN IIn,0.9102957248687744
ANT2024nl77aj07e8fm,,2023ysa,SN Ib,SN IIn,0.431
ANT2024o6monp3sx8h2,,2024fqr,---,SN IIn,0.522
ANT2024zfohewsn6dkj,,No TNS,---,SN IIn,0.623
ANT202445d2kkck26fn,,No TNS,---,SN IIn,0.42
ANT2024r8y664107iwi,,2024fhw,---,SN IIn,0.28
ANT2024pux95mlktndb,,No TNS,---,SN IIn,0.476
ANT20233qdofm3wpcsx,,2023vud,---,SN IIn,0.467
ANT2023ozt1i7xqk8p5,,2023xaq,---,SN IIn,0.824
ANT2024q69en3xae35z,,No TNS,---,SN IIn,0.269
ANT2024q4at5g8wvooa,,No TNS,---,SN IIn,0.243
ANT2024scfamuec3tx2,,2024fwj,SN Ia,SN IIn,0.323
ANT2024b10s7q0e8uj1,,2024fyp,---,SN IIn,0.402
ANT20245horcxb5j0vv,,2024fow,---,SN IIn,0.265
ANT2024k76baveo1bsq,,2024byt,SLSN-I,SN IIn,0.404
ANT2023jtdzw51s9azg,,No TNS,---,SN IIn,0.53
ANT2023bl1q1fgeafyh,,No TNS,---,SN IIn,0.981
ANT2023g1luvsioxu5s,,No TNS,---,SN IIn,0.755
ANT20232jdabv9e9b3x,,No TNS,---,SN IIn,0.445
ANT2023211ebysfr0n0,,No TNS,---,SN IIn,0.787
ANT2023a24ao4qh82xt,,No TNS,---,SN IIn,0.536
ANT2024mo4qbh0h7nnb,,2024foi,---,SN IIn,0.229
ANT2023y6hloaxk2173,,No TNS,---,SN IIn,0.765
ANT20240c5gu2qgp8nh,,2024ahy,---,SN IIn,0.55
ANT2024q25uq9315lpf,,No TNS,---,SN IIn,0.522
ANT2024ari3pwmsncb8,,2024fty,---,SN IIn,0.292
ANT20230ts68tgtbcxu,,No TNS,---,SN IIn,0.635
ANT2024thx7z5daqrnw,,No TNS,---,SN IIn,0.974
ANT2024hpu7w4w0s4rw,,No TNS,---,SN Ibc,0.594
ANT2024c6isdd6dq8lx,,2024fvf,---,SN Ibc,0.803
ANT2024cefsmund0emi,,No TNS,---,SN Ibc,0.283
ANT20247it9s45f5trm,,2024foz,---,SN Ibc,0.574
ANT2024s8ri3fmrxrvn,,No TNS,---,SN Ibc,0.409
ANT2024v66glvvzkymo,,2024gah,---,SN Ibc,0.508
ANT2024gvb28lb5ek66,,No TNS,---,SN Ibc,0.463
ANT2024hl6pc9s9584v,,2024dlz,---,SN Ibc,0.38
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.751
ANT2024y43ol51xnvod,,No TNS,---,SN Ibc,0.435
ANT202427z1ewl1b8f0,,No TNS,---,SN Ibc,0.488
ANT20246ifo2hq6pope,,2024cfp,---,SN Ibc,0.346
ANT2024ryhpgtarie8x,,No TNS,---,SN Ibc,0.316
ANT2024c7qsxm24i2bc,,2024fpu,---,SN Ibc,0.481
ANT2024vx7vmrs6541h,,2024ecb,SN IIb,SN Ibc,0.6
ANT2024vqphr7r6fy79,,2024ejy,---,SN Ibc,0.571
ANT2024mwu4tqobidvi,,No TNS,---,SN Ibc,0.392
ANT2024ov3j009srch3,,2024cro,---,SN Ibc,0.829
ANT2024f399vxcmlorl,,No TNS,---,SN Ibc,0.312
ANT2024d4ocjvdfuta7,,No TNS,---,SN Ibc,0.352
ANT2024bjcr7soflu7w,,No TNS,---,SN Ibc,0.47
ANT2024ps3buerp6yfh,,2024ewe,---,SN Ibc,0.372
ANT20243wgnz4rt535y,,No TNS,---,SN Ibc,0.567
ANT2024s698fn7jppn3,,2024fxl,SN Ia,SN Ibc,0.316
ANT2024gohzlmlj95nj,,No TNS,---,SN Ibc,0.555
ANT20245wo79jniqnlc,,No TNS,---,SN Ibc,0.265
ANT2024e86dpnrmyeww,,2024fqb,---,SN Ibc,0.326
ANT202443npj03nd2my,,No TNS,---,SN Ibc,0.361
ANT2024o97ua9r87d27,,2024fij,---,SN Ibc,0.283
ANT2024e5upnq6dxpoi,,2024bjj,---,SN Ibc,0.406
ANT2024cvtbsg9o5dp3,,No TNS,---,SN Ibc,0.272
ANT2024az6m2izt3p6k,,No TNS,---,SN Ibc,0.49
ANT2024mokh71dqeiha,,2024fid,SN Ia-91bg-like,SN Ibc,0.584
ANT2024cwzn7sjovmsu,,No TNS,---,SN Ibc,0.276
ANT20240m2lszi3ycun,,No TNS,---,SN Ibc,0.44
ANT202492t09xfbhwiz,,No TNS,---,SN Ibc,0.477
ANT2024qtb3vdsx37em,,2019nla,---,SN Ibc,0.346
ANT20247y767h5s0f0r,,No TNS,---,SN Ibc,0.284
ANT2024xkjj0r8yux3c,,No TNS,---,SN Ibc,0.376
ANT2024lsn2hv326t5u,,No TNS,---,SN Ibc,0.5
ANT20244lpxum4ps6rg,,No TNS,---,SN Ibc,0.473
ANT202431a4p0ql7kzd,,No TNS,---,SN Ibc,0.267
ANT2024p37ydrvopm5x,,No TNS,---,SN Ibc,0.279
ANT2024rmci3dnxe8u1,,No TNS,---,SN Ibc,0.381
ANT2024393f471m4s8o,,No TNS,---,SN Ibc,0.497
ANT2024fwzoghuf3bq0,,No TNS,---,SN Ibc,0.319
ANT2024fqtqxrg6xwki,,No TNS,---,SN Ibc,0.393
ANT2024h6m0t4vmtuak,,2024fog,---,SN Ibc,0.368
ANT2024tdktdaux128p,,No TNS,---,SN Ibc,0.294
ANT20249l8qxw48q8cm,,No TNS,---,SN Ibc,0.629
ANT202422i89wt09f7r,,No TNS,---,SN Ibc,0.309
ANT2024mju1s2s3jgzg,,No TNS,---,SN Ibc,0.595
ANT2024btwpsx4tmgoi,,No TNS,---,SN Ibc,0.58
ANT20243rlm3yq191ru,,No TNS,---,SN Ibc,0.374
ANT2024cl0xd3kr2obb,,No TNS,---,SN Ibc,0.377
ANT2024agwvie8845c2,,No TNS,---,SN Ibc,0.344
ANT2024o16rwj0rgi94,,2024feu,---,SN Ibc,0.767
ANT202445j572zrufgb,,No TNS,---,SN Ibc,0.258
ANT2024fi1syf5clgoc,,No TNS,---,SN Ibc,0.301
ANT2024sy37qsdseflc,,No TNS,---,SN Ibc,0.395
ANT2024ajem599kyqeu,,No TNS,---,SN Ibc,0.318
ANT2024zjgqqscam81l,,No TNS,---,SN Ibc,0.696
ANT2024pu1doav90bcp,,No TNS,---,SN Ibc,0.341
ANT2024e9zf1znxg1hx,,No TNS,---,SN Ibc,0.298
ANT20247afcjbysj2x9,,No TNS,---,SN Ibc,0.495
ANT2024l2x56zfdeh7d,,No TNS,---,SN Ibc,0.389
ANT2024rceo9ddbw9rr,,No TNS,---,SN Ibc,0.626
ANT2024elozp156dhjh,,No TNS,---,SN Ibc,0.589
ANT202431e7bexqqm5p,,No TNS,---,SN Ibc,0.666
ANT20241mm3clqfi3ey,,No TNS,---,SN Ibc,0.41
ANT2024vsanbrhxz6aj,,No TNS,---,SN IIn,0.36
ANT2024ak4sqhxvc5zu,,2024frp,---,SN IIn,0.344
ANT2024bavbhit16azt,,2024etj,---,SN IIn,0.466
ANT20247jykzp2lkwf7,,2024fxz,---,SN IIn,0.299
ANT2024tzjm0eilncy8,,No TNS,---,SN IIn,0.761
ANT2024yol1mb2m08dl,,2020inc,---,SN IIn,0.307
ANT2024emund75i9qvf,,2024ceo,---,SN IIn,0.603
ANT20232w6jofedwa6b,,No TNS,---,SN IIn,0.786
ANT2024nn5f1vp858r8,,2024gbn,---,SN IIn,0.407
ANT2024pb9lx1nkg8pw,,No TNS,---,SN IIn,0.322
ANT2024r8y664107iwi,,2024fhw,---,SN IIn,0.293
ANT2024jynxs3tpihk8,,No TNS,---,SN IIn,0.265
ANT2023k6xgfi3zz8xe,,No TNS,---,SN IIn,0.529
ANT2024ky9kt70zuxt2,,No TNS,---,SN IIn,0.271
ANT2024o6monp3sx8h2,,2024fqr,---,SN IIn,0.31
ANT2024vn9l2ma3any4,,No TNS,---,SN IIn,0.249
ANT2023ozt1i7xqk8p5,,2023xaq,---,SN IIn,0.704
ANT2024z3c2n32uzrca,,No TNS,---,SN IIn,0.247
ANT2024n8o26sjqgcza,,No TNS,---,SN IIn,0.255
ANT20249779hmibydnb,,No TNS,---,SN IIn,0.415
ANT2024nl77aj07e8fm,,2023ysa,SN Ib,SN IIn,0.524
ANT2024kitxjeg4pu0n,,No TNS,---,SN IIn,0.688
ANT2024wy12dy239uqi,,No TNS,---,SN IIn,0.399
ANT2023c28zpk0cki4u,,No TNS,---,SN IIn,0.72
ANT20245itgh5zu4wbz,,2024aqw,---,SN IIn,0.671
ANT2024qefvnhfl0rg4,,No TNS,---,SN IIn,0.378
ANT2024pva4adfw6c1n,,No TNS,---,SN IIn,0.302
ANT2024f46wgxy2hzu5,,No TNS,---,SN IIn,0.576
ANT2024rk4mj2nu80f0,,No TNS,---,SN IIn,0.306
ANT2024ari3pwmsncb8,,2024fty,---,SN IIn,0.428
ANT2023muuad8z8fwuy,,2024vz,---,SN IIn,0.79
ANT2023wmt0ju7kbcpg,,No TNS,---,SN IIn,0.922
ANT2023g1luvsioxu5s,,No TNS,---,SN IIn,0.893
ANT2023utmyq1zmo0yz,,No TNS,---,SN IIn,0.896
ANT2024xaf016vot4xl,,No TNS,---,SN IIn,0.258
ANT2023sxyd97sjiox7,,No TNS,---,SN IIn,0.479
ANT2024sawsj4wtk9ny,,2024gby,---,SN IIn,0.353
ANT2024drk5yrrscl1v,,No TNS,---,SN IIn,0.379
ANT20248hqnw5dp2rbm,,No TNS,---,SN IIn,0.334
ANT202375ysslceq2ki,,No TNS,---,SN IIn,0.884
ANT2023qxinzw288ouf,,No TNS,---,SN IIn,0.606
ANT2023sjanfzki847x,,No TNS,---,SN IIn,0.677
ANT20234cl5zuhzyelz,,No TNS,---,SN IIn,0.626
ANT2024b4uogd8ryawc,,No TNS,---,SN IIn,0.617
ANT2024c6isdd6dq8lx,,2024fvf,---,SN Ibc,0.795
ANT2024ep2oc9vnxgpp,,2024fob,---,SN Ibc,0.371
ANT20245hbdj17rq3by,,2024ecl,---,SN Ibc,0.876
ANT2024h5ryicembzqx,,2024agk,---,SN Ibc,0.647
ANT2024kitxjeg4pu0n,,No TNS,---,SN Ibc,0.416
ANT2024e9yi2a78ndu1,,2024gee,---,SN Ibc,0.277
ANT2024o0o6sqenraxn,,No TNS,---,SN Ibc,0.466
ANT2024gzqb45v2nzs4,,2024eqg,---,SN Ibc,0.683
ANT2024hlle8di493bq,,2024gff,---,SN IIn,0.287
ANT20244oj7du3pbt3w,,2024fre,---,SN IIn,0.437
ANT2024pba95cntyymv,,2024fzn,---,SN IIn,0.359
ANT2024ii39eh2cgvrq,,2024fof,---,SN IIn,0.37
ANT2024gwz0hq3jebrg,,2024fmm,---,SN IIn,0.306
ANT2024k7jjtx5rtfsl,,2024flu,SN Ia,SN IIn,0.333
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.399
ANT2024e7bhxt37xlj5,,2024fxo,SN Ia,SN IIn,0.367
ANT2024y36axi59utos,,2024fel,---,SN IIn,0.311
ANT2024xcnv5omifj1t,,2024dkk,---,SN IIn,0.482
ANT2024ybi9qyh2xc15,,No TNS,---,SN IIn,0.233
ANT202465rn5ogis9sk,,2024ejz,---,SN IIn,0.349
ANT2024ql7ew49k0z7r,,2024ald,---,SN IIn,0.424
ANT2024hsj3emsnz9bi,,2024gbt,SN Ia,SN IIn,0.311
ANT2024nl77aj07e8fm,,2023ysa,SN Ib,SN IIn,0.452
ANT2023ziaxqu7py549,,2023wrk,SN Ia,SN IIn,0.371
ANT2024mdrblz1z46uf,,2024cig,---,SN IIn,0.442
ANT2024yeni128sh4tc,,2024fcj,SN Ia,SN IIn,0.341
ANT2024wmcfpommo9gj,,2024fmi,---,SN IIn,0.289
ANT202481t3ao1vyzpk,,2024fbj,---,SN IIn,0.359
ANT2024rljguh5bn6jk,,2024fmj,---,SN IIn,0.449
ANT2024cuf5xadsng1o,,2024amc,---,SN IIn,0.7
ANT2024nn5f1vp858r8,,2024gbn,---,SN IIn,0.385
ANT2024pvr7rszpzs8p,,2024fcf,---,SN IIn,0.361
ANT2024g549d1w2jjyr,,2024alc,---,SN IIn,0.429
ANT2024jgylp889zeif,,2024fnw,---,SN IIn,0.352
ANT2024scfamuec3tx2,,2024fwj,SN Ia,SN IIn,0.293
ANT20243ltcniwg72iq,,2024fmk,---,SN IIn,0.287
ANT2024t0hvnkqecvij,,2024fzs,---,SN Ibc,0.365
ANT2024tal7fotyj7lm,,No TNS,---,SN Ibc,0.353
ANT2024vx7vmrs6541h,,2024ecb,SN IIb,SN Ibc,0.654
ANT2024ldumjqx0zi6p,,2024gal,---,SN Ibc,0.369
ANT20246hl5h5qst77m,,No TNS,---,SN Ibc,0.313
ANT2024ec5wn48qcoj6,,2024fqa,---,SN Ibc,0.293
ANT2024m824qj73vk0d,,No TNS,---,SN Ibc,0.293
ANT2024bgqy3jpdhymz,,No TNS,---,SN Ibc,0.468
ANT2024ij0u0j93284u,,2024eca,SN Ic,SN Ibc,0.793
ANT202421xz66xx75jb,,2024fey,---,SN Ibc,0.353
ANT202492t09xfbhwiz,,No TNS,---,SN Ibc,0.423
ANT2024e86dpnrmyeww,,2024fqb,---,SN Ibc,0.426
ANT2023n3xr92hj9vrx,,2023zvq,SN Ia,SN Ibc,0.689
ANT2024qab5trv2kem8,,2024fhv,---,SN Ibc,0.609
ANT20243wzfvj49829t,,2024fdl,---,SN Ibc,0.748
ANT2024vqphr7r6fy79,,2024ejy,---,SN Ibc,0.528
ANT20244csfg7z11hwf,,No TNS,---,SN Ibc,0.403
ANT2024rd1k0ci271og,,2024epm,SN Ia,SN Ibc,0.389
ANT20247afcjbysj2x9,,No TNS,---,SN Ibc,0.421
ANT2024p8qpv867ya86,,2024frs,---,SN IIn,0.341
ANT2024im0uj6wedkgt,,2024fzz,---,SN IIn,0.372
ANT20245dlkks4yvo2a,,2024fzx,---,SN IIn,0.276
ANT20247jykzp2lkwf7,,2024fxz,---,SN IIn,0.368
ANT20244oj7du3pbt3w,,2024fre,---,SN IIn,0.36
ANT2024hee5c1f6hkva,,2024gad,---,SN IIn,0.334
ANT2024tgvkdxfr0xq3,,2024cui,SN IIn,SN IIn,0.34
ANT2024wnfq9xayej3l,,2024fqw,---,SN IIn,0.35
ANT2024k7jjtx5rtfsl,,2024flu,SN Ia,SN IIn,0.37
ANT2024eap02mw9rrjs,,No TNS,---,SN IIn,0.558
ANT2024vuxzkcd9euvx,,2024erx,---,SN IIn,0.476
ANT2024ix08siwtzsup,,2018mnh,---,SN IIn,0.402
ANT2024svemo5z6o04v,,2024fjc,---,SN IIn,0.323
ANT2024y7wwjz3ivn71,,2024fxv,---,SN IIn,0.345
ANT202461exahew2eo0,,2024fhq,---,SN IIn,0.295
ANT20242j9rvsaoc2kq,,2024flh,SN Ia,SN IIn,0.362
ANT202348xqm7c73j1b,,2023zqi,---,SN IIn,0.743
ANT2024y4d9hedvcwvw,,2024fzm,---,SN IIn,0.291
ANT202371ua4unil0y6,,No TNS,---,SN IIn,0.747
ANT2024t2vp3o1gpgve,,No TNS,---,SN IIn,0.274
ANT2024szulfma1z1by,,2024fzo,---,SN IIn,0.286
ANT2024lcjwz5zho8ao,,2024gdd,---,SN IIn,0.326
ANT2024ari3pwmsncb8,,2024fty,---,SN IIn,0.434
ANT2024q747iqr38zvv,,2024gau,---,SN IIn,0.323
ANT20242j3m6y8m2qgp,,2024fdt,---,SN IIn,0.294
ANT2024a3m0src88do3,,2024bgb,---,SN IIn,0.59
ANT2023cnpldpcjz1mt,,No TNS,---,SN IIn,0.411
ANT2024f74evb80pyen,,2024elf,SN II,SN Ibc,0.289
ANT2024ifht9uf75g97,,2024frf,---,SN Ibc,0.297
ANT2024h7erwggbin0g,,2024frr,---,SN Ibc,0.276
ANT2024qtk6jdajnney,,2024euo,---,SN Ibc,0.348
ANT202411rrdz1y442l,,No TNS,---,SN Ibc,0.926
ANT2024m3m4rn1a1siz,,2024ahv,SN Ib,SN Ibc,0.795
ANT2024qr6d5cfyz8x8,,2024gae,---,SN Ibc,0.315
ANT2024drp7i8lew7yx,,2024fte,---,SN Ibc,0.443
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.468
ANT2024vkdqio37i7tp,,2024enx,---,SN Ibc,0.553
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.75
ANT2024sa3ofuz6uf7p,,2024fvg,---,SN Ibc,0.297
ANT2024e2i18p0z2s5x,,No TNS,---,SN Ibc,0.767
ANT20240l0yase37j5d,,2024fjp,SN Ia,SN IIn,0.332
ANT2024eecagfzanjwg,,2024frg,---,SN IIn,0.288
ANT2024vbep9z6ksru9,,2024gbg,---,SN IIn,0.278
ANT20242adxqu2sbl35,,2024gbh,---,SN IIn,0.365
ANT20248w5ig0ez8fzk,,2024ezb,---,SN IIn,0.391
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.397
ANT2024im0uj6wedkgt,,2024fzz,---,SN IIn,0.37
ANT2024hee5c1f6hkva,,2024gad,---,SN IIn,0.304
ANT2024iiysbbq5mu54,,2024dij,---,SN IIn,0.565
ANT2024xbunbnninzcg,,No TNS,---,SN IIn,0.542
ANT2024fa0cnynzw02y,,2024frd,---,SN IIn,0.361
ANT2024v1e58qca2ap3,,2024gba,---,SN Ibc,0.284
ANT2024p95qrpsverh8,,2024esh,---,SN Ibc,0.614
ANT2024v66glvvzkymo,,2024gah,---,SN Ibc,0.535
ANT202465rn5ogis9sk,,2024ejz,---,SN Ibc,0.357
ANT2024oqhy5bme83l2,,2024fia,---,SN Ibc,0.593
ANT2024gwz0hq3jebrg,,2024fmm,---,SN Ibc,0.325
ANT20242j9d9dm3913j,,2024ehs,SN II,SN Ibc,0.758
ANT2024hcqqmdkg2e2r,,2024dzs,---,SN Ibc,0.319
ANT2024o6r9zqbkyfl0,,2024gef,---,SN Ibc,0.354
ANT2024ducsn7safddg,,2024cxh,SN Ia,SN Ibc,0.685
ANT20247afcjbysj2x9,,No TNS,---,SN Ibc,0.539
ANT20244oj7du3pbt3w,,2024fre,---,SN IIn,0.44
ANT2024pba95cntyymv,,2024fzn,---,SN IIn,0.364
ANT2024hlle8di493bq,,2024gff,---,SN IIn,0.331
ANT2024bavbhit16azt,,2024etj,---,SN IIn,0.315
ANT2024dvm5r7tfekn2,,2024goq,---,SN IIn,0.32
ANT2024c3mh4rhazmvr,,2024fpx,---,SN IIn,0.34
ANT202415quxu9sd60x,,2024for,---,SN IIn,0.259
ANT2024e7bhxt37xlj5,,2024fxo,SN Ia,SN IIn,0.314
ANT2024wmcfpommo9gj,,2024fmi,---,SN IIn,0.374
ANT202328bh61ki75zd,,2023xix,SN IIn,SN IIn,0.529
ANT2024scfamuec3tx2,,2024fwj,SN Ia,SN IIn,0.336
ANT2024yeni128sh4tc,,2024fcj,SN Ia,SN IIn,0.414
ANT20240613ft86e4cg,,2024gkp,---,SN IIn,0.568
ANT2024ln409zarknfh,,2024fzv,---,SN IIn,0.381
ANT2024qgj5qop4xk8e,,2024bqd,---,SN IIn,0.483
ANT2024i1qcrv7f633c,,2024fko,---,SN IIn,0.345
ANT2024zev5woc1s7zf,,2024dsx,---,SN IIn,0.387
ANT2024pvr7rszpzs8p,,2024fcf,---,SN IIn,0.3
ANT202439jltrkjo66a,,2024foh,---,SN IIn,0.358
ANT2024xcnv5omifj1t,,2024dkk,---,SN IIn,0.483
ANT2024utjyzlyyvh0e,,2024fnu,---,SN IIn,0.248
ANT2024tbjsemumcmwy,,2024fmt,---,SN IIn,0.307
ANT2023wmt0ju7kbcpg,,No TNS,---,SN IIn,0.885
ANT2023i9a1m78v8iix,,No TNS,---,SN IIn,0.413
ANT202481t3ao1vyzpk,,2024fbj,---,SN IIn,0.325
ANT2024t0tdzuypyxq9,,2024eqn,---,SN IIn,0.305
ANT2024mdrblz1z46uf,,2024cig,---,SN IIn,0.553
ANT202425rg8b8ba60b,,2024ftf,---,SN IIn,0.357
ANT2024jgylp889zeif,,2024fnw,---,SN IIn,0.312
ANT2024f1gi438skc50,,2024flc,---,SN IIn,0.297
ANT20238qzqijh5ey4t,,No TNS,---,SN IIn,0.685
ANT20245dlkks4yvo2a,,2024fzx,---,SN Ibc,0.288
ANT2024bkhxqqhon904,,2024frq,---,SN Ibc,0.324
ANT2024sha24vyjaac6,,No TNS,---,SN Ibc,0.308
ANT2024v46qcn42x5v6,,2024fpb,---,SN Ibc,0.506
ANT2024zu6b0aflz03c,,No TNS,---,SN Ibc,0.581
ANT2024thp6y2f7a90g,,2024gqd,---,SN Ibc,0.37
ANT2024r0skormsghpm,,No TNS,---,SN Ibc,0.363
